ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-05540	Meyrieux-Trouet	MEYRIEUX-TROUET	canton d’Yenne	73156	MEYRIEUX-TROUET
DT73-05595	Modane	MODANE	Saint-Jean-de-Maurienne	73157	MODANE
DT73-05599	Mognard	MOGNARD	canton d’Albens	73158	MOGNARD
DT73-05709	Mollettes	MOLLETTES	canton de Montmélian	73159	MOLLETTES
DT73-05794	Montagnole	MONTAGNOLE	canton de Chambéry	73160	MONTAGNOLE
DT73-05796	Montagny	MONTAGNY	canton de Bozel	73161	MONTAGNY
DT73-05803	Montailleur	MONTAILLEUR	canton de Grésy-sur-Isère	73162	MONTAILLEUR
DT73-05805	Montaimont	MONTAIMONT	canton de La Chambre	73163	MONTAIMONT
DT73-05845	Montcel	MONTCEL	canton d’Aix-les-Bains	73164	MONTCEL
DT73-05891	Montendry	MONTENDRY	canton de Chamoux	73166	MONTENDRY
DT73-05927	Montgellafrey	MONTGELLAFREY	canton de La Chambre	73167	MONTGELLAFREY
DT73-05930	Montgilbert	MONTGILBERT	canton d’Aiguebelle	73168	MONTGILBERT
DT73-05935	Montgirod	MONTGIROD	canton d’Aime	73169	MONTGIROD
DT73-05944	Monthion	MONTHION	canton d’Albertville	73170	MONTHION
DT73-05970	Montmélian	MONTMELIAN	Chambéry	73171	MONTMELIAN
DT73-06013	Montsapey	MONTSAPEY	canton d’Aiguebelle	73175	MONTSAPEY
DT73-06025	Montvernier	MONTVERNIER	canton de Saint-Jean-de-Maurienne	73177	MONTVERNIER
DT73-06084	Motte-en-Bauges	MOTTE-EN-BAUGES	canton du Châtelard	73178	MOTTE-EN-BAUGES
DT73-06089	Motte-Servolex	MOTTE-SERVOLEX	Chambéry	73179	MOTTE-SERVOLEX
DT73-06093	Motz	MOTZ	canton de Ruffieux	73180	MOTZ
DT73-06147	Moutiers	MOUTIERS	chef-lieu d’arrondissement	73181	MOUTIERS
DT73-06151	Mouxy	MOUXY	canton d’Aix-les-Bains	73182	MOUXY
DT73-06183	Myans	MYANS	canton de Montmélian	73183	MYANS
DT73-06187	Nances	NANCES	canton de Pont-de-Beauvoisin	73184	NANCES
