 id 	old	new	
4528	Menez Veil Avel	Ménez Veil Avel	
4533	Pen Allee Bereven	Pen Allée Béréven	
4534	Pen Allee Boneze (impasse)	Pen Allée Bonèze	
4538	Pen ar Menez	Pen ar Ménez	
4545	Peniconan	Péniconan	
4548	Perien Bonis	Périen Bonis	
4551	Poul ar Ven Dero (rue)	Poul ar Ven Déro	
4557	Quelen	Quélen	
4564	Roscoure	Roscouré	
4570	Tremic	Trémic	
4572	Trevennec	Trévennec	
4573	Treveon	Trévéon	
4603	Kernerve	Kernervé	
4605	Kerveguen	Kervéguen	
4611	Mejou Kerobistin	Kerobistin	
4612	Mejou Kernavriou	Kernavriou	
4613	Mejou Roz	Méjou Roz	
4614	Menez Traon	Ménez Traon	
4620	Raguenes	Raguénès	
4623	Teven	Téven	
4624	Tremigon	Trémigon	
4635	Brezehant	Brézéhant	
4650	Kerbrezel	Kerbrézel	
4651	Kerdiles	Kerdilès	
4654	Kerfornedic	Kerfornédic	
4655	Kerguelen	Kerguélen	
4668	Kerveen	Kervéen	
4669	Kervelen	Kervélen	
4671	Kervenolou	Kervénolou	
4672	Kerveroux	Kervéroux	
4735	Boissiere (La)	Boissière (La)	
4761	Keramperu	Kerampéru	
4782	Kerdevot	Kerdévot	
4789	Kergueres	Kerguérès	
4791	Kerhelene	Kerhélène	
4798	Kerisole	Kerisolé	
4804	Kerlouedec	Kerlouédec	
4807	Kerneac’h	Kernéac'h	
4808	Kernevez	Kernévez	
4818	Kersale	Kersalé	
4833	Megot (Le)	Mégot (Le)	
4834	Menez Bihan	Ménez Bihan	
4835	Menez Bras Kerorgant	Ménez Bras Kerorgant	
4836	Menez Cressalic	Ménez Cressalic	
4837	Menez Kervao	Ménez Kervao	
4846	Moulin du Nezard	Moulin du Nézard	
4849	Nezard (Le)	Nézard (Le)	
4851	Parc Menez	Parc Ménez	
4854	Pendreau	Pendréau	
4861	Pont Brezean	Pont Brézéan	
4900	Trevidiern	Trévidiern	
4905	Bandelou	Bandélou	
4914	Croissant Megot	Croissant Mégot	
4930	Kerbasquezen	Kerbasquézen	
4954	Menez Ros Gaoec	Ménez Ros Gaoec	
4955	Menez Ros Vian	Ménez Ros Vian	
4956	Menez Vras	Ménez Vras	
4959	Moulin de Trevidiern	Moulin de Trévidiern	
4987	Biere (Le)	Biéré	
4990	Brehostou	Bréhostou	
4991	Cosquies (Le)	Cosquiès (Le)	
4992	Croae (Le)	Croaë (Le)	
5009	Kervidre	Kervidré	
5018	Pen ar Streat (rue)	Pen ar Stréat	
5031	Theven (impasse du)	Théven	
5042	Ile Quemenes	Ile Quéménès	
