article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00111,Annonay,none,07010,P01319167,DT07-08353,Linon,ruisseau,commune d’Annonay,07010,communes_fuzzy,,,,,
PO7-00111,Annonay,none,07010,P72710599,DT07-13650,Marcel Annonay,commune,canton d’Annonay Nord,07010,communes_fuzzy,,,,,
PO7-00111,Annonay,none,07010,P90522622,DT07-01862,Boulieu Annonay,commune,canton d’Annonay Nord,07010,communes_fuzzy,,,,,
PO7-00111,Annonay,none,07010,P03243401,DT07-15719,Vernosc Annonay,commune,canton d’Annonay Sud,07010,communes_fuzzy,,,,,
PO7-00112,Anse,Omblèze,26221,P11413333,DT26-00150,Anse,montagne et ferme,commune d’Omblèze,26221,localisationco_exact,,,,,
PO7-00113,Ansigny,none,73010,,,,,,,nulle,Savoie,73,Albens,nulle,     Ansigny     Savoie     con d Albens       Ansignie  capellanus  325 b  curatus  341 a      Ansignier  cura  352 c      Densignie  capellanus  318 d    
PO7-00114,Anteuil,none,25018,,,,,,,nulle,Doubs,25,Clerval,dpt_exact,     Anteuil     Doubs     con de Clerval       Amtheuille  eccl   99 e      Antheuille  eccl   66 a      Antoille  eccl   24 d      Antuille  capellanus  64 b    
PO7-00116,Anthy,none,74013,,,,,,,nulle,Haute-Savoie,74,Thonon-les-Bains,dpt_fuzzy,     Anthy     Haute Savoie     con de Thonon les Bains       Anthie  curatus  339 b  350 a      Anthiez  capellanus  330 e      Antier  eccl   351 c      Antiez  capellanus  310 f    
PO7-00117,Antraigues,none,07011,P97984571,DT07-00106,Aires,hameau,commune d’Antraigues,07011,communes_fuzzy,,,,,
PO7-00117,Antraigues,none,07011,P44235896,DT07-01338,Bezorgues,ruisseau,commune d’Antraigues,07011,communes_fuzzy,,,,,
