Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00840,"Barbiers (le fief des), ou de Sainte-Maure.","Ce fief était situé dans la ville de Tours, entre les rues des Fouquets, de la Guerche, des Crapauds et de Jérusalem.",Jérusalem
DT37-00851,"Barboterie (la),","ferme, commune de Marigny.",Marigny
DT37-00856,"Barbotinière (courance de la),",commune de Marcé-sur-Esves.,Marcé-sur-Esves
DT37-00859,"Barbottes (le lieu des),","près de Port-Guyet, commune de Saint-Nicolas-de-Bourgueil.",Port-Guyet
DT37-00861,"Barcelonne (la),","ferme, commune de Maillé.",Maillé
DT37-00865,"Barde (la),","ferme, commune de Beaumont-la-Ronce, près de la Vendœuvre.",Vendœuvre
DT37-00870,"Bardelle (le lieu de la),","près de Bommiers, commune de Sainte-Maure.",Bommiers
DT37-00871,"Bardellière (le lieu de la),","près de la Picaudière, commune de Sonzay.",Picaudière
DT37-00883,"Bardoire (la),","hameau, commune de Chisseaux,",Chisseaux
DT37-00885,"Bardonnières (les),","ferme, commune de la Guerche, près de la Creuse.",Creuse
DT37-00893,"Bardoux (le lieu des),",paroisse de Saint-Quentin-sur-Indrois.,Saint-Quentin-sur-Indrois
DT37-00895,"Barellerie (la),","hameau, commune du Grand-Pressigny,",Grand-Pressigny
DT37-00899,"Barengers (le lieu des), La Morellerie, ou Bellangerie,",paroisse de Saint-Cyr.,Saint-Cyr
DT37-00909,"Barillère (la), et la Petite-Barillère,","ferme, commune du Petit-Pressigny.",Petit-Pressigny
DT37-00911,"Barillères (le lieu des),","près de la Chapelle-Taboureau, commune de Bréhémont.",Chapelle-Taboureau
DT37-00912,"Barillères (le lieu des),","commune de Chinon, près de la Joubarbe.",Joubarbe
DT37-00913,"Barillères (le lieu des),","près de la ferme de l’Oisillière, commune de Pernay.",Oisillière
DT37-00923,"Bariolerie (le lieu de la),","près de l’étang de Baigne-Chien, commune de Cléré.",Baigne-Chien
DT37-00924,"Baris-d’Eaux (le lieu de),","commune de Bossay, près du chemin de Lureuil à Bossay.",Lureuil
DT37-00927,"Barnabés (le lieu des),","près de la Grande-Bourde, commune de Sainte-Catherine-de-Fierbois.",Grande-Bourde
DT37-00928,"Barnoules (le lieu des),","près de la ferme de la Bouette, commune de Chambon.",Bouette
DT37-00936,"Baronnerie (le lieu de la),","près du Haut-Drecé, commune de Lémeré.",Haut-Drecé
DT37-00969,"Barre (la),","hameau, commune du Petit-Pressigny,",Petit-Pressigny
DT37-00984,"Barre (fontaine de la),","commune d’Yzeures, près des limites de la commune de Néons (Indre).",Néons
DT37-00985,"Barré (île),","dans la Loire, commune de Cinq-Mars.",Cinq-Mars
DT37-00991,"Barreau (bois du),","près du château de la Louère, commune de Marcé-sur-Esves.",Louère
