Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-03311,Cayrelette (La),Sansac-Veynazès,15222,Sansac-Veinazès,
DT15-03312,Cayrelle (La),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03318,Cayrolle (La),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03323,Cayrou (Le),Cros-de-Monvert,15057,,
DT15-03340,Cazalat,Saint-Élienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-03363,Cazolat,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03365,Cébairie (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-03382,Celoux,Ruines,non,,
DT15-03386,Cendecambon,Arpajon,15012,Arpajon-sur-Cère,
DT15-03393,Cère,Arpajon,15012,Arpajon-sur-Cère,
DT15-03400,Certe (La),Ally,15003,,Commune non reconnue dans le DT
DT15-03406,Cezens,Pierrefort,non,,
DT15-03436,Chabaury-Bas et Haut,Trémouille-Marchal,15240,,
DT15-03439,Chabié (La Fon de),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-03451,Chabrevieille,Ruines,15168,Ruynes,
DT15-03460,Chabrillac,Virargues,15263,,Commune non reconnue dans le DT
DT15-03466,Chabus,Saint-Christophe,15153,,
DT15-03472,Chaffol (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-03485,Chaissial (Le),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03489,Chalcadieu,Saignes,15169,,Commune non reconnue dans le DT
DT15-03500,Chaliers,Ruines,non,,
DT15-03505,Chalivet (Le),Sarrus,15073,,
DT15-03533,Chamayrac,Barriac,15018,,
DT15-03551,Chambon (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-03559,Chambon (Le),Saint-Christophe,15153,,
DT15-03561,Chambon (Le),Trémouille-Marchal,15240,,
DT15-03571,Chameyrac,Ally,15003,,Commune non reconnue dans le DT
DT15-03578,Champ (La),Barriac,15018,,
DT15-03595,Champ (Le),Saint-Julien,15113,,
DT15-03597,Champ (Le),Sarrus,15073,,
DT15-03601,Champagnac,Saignes,non,,
DT15-03612,Champcel,Saint-Bonnet-de-Marcenat,15173,,
DT15-03613,Champ-Court (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-03617,Champ-de-Claveyroux (Le),Saignes,15169,,Commune non reconnue dans le DT
DT15-03647,Champredonde,Trémouille-Marchal,15240,,
DT15-03648,Champrium,Marchal,15038,,
DT15-03652,Champs (Le Bois des),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-03658,Champs (Les),Sarrus,15073,,
DT15-03686,Chanson (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-03690,Chantal (Le),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03707,Chante-Loube,Chaudesaigues,15045,Chaudes-Aigues,
DT15-03712,Chantène (La),Saignes,15169,,Commune non reconnue dans le DT
DT15-03723,Chanut,Arpajon,15012,Arpajon-sur-Cère,
DT15-03743,Chapellenie (La),Montmurat,15133,,
DT15-03744,Chapelle-Notre-Dame (La),Chaudesaigues,15045,Chaudes-Aigues,
DT15-03745,Chapelles (Les),Arpajon,15012,Arpajon-sur-Cère,
DT15-03767,Charbonaire (La),Saint-Bonnet-de-Marcenat,15173,,
DT15-03771,Charbonnier (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-03782,Charlet (Le),Ruines,15168,Ruynes,
DT15-03805,Chas (Le),Ruines,15168,Ruynes,
DT15-03808,Chassagne,Chaudesaigues,15045,Chaudes-Aigues,
DT15-03817,Chassagne (La),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03829,Chassagnette (La),Pierrefort,15152,,Commune non reconnue dans le DT
DT15-03830,Chassagnette,Ruines,15168,Ruynes,
DT15-03844,Chassaniade (La),Sarrus,15073,,
DT15-03851,Chassonnière (La),Louharesse,15108,Loubaresse,
DT15-03856,Chastang (Le),Ségur,15225,,
DT15-03864,Chastelloux (Le),Saint-Bonnet-de-Marcenat,15173,,
DT15-03865,Chastel-Marlhac,Saignes,non,,
DT15-03874,Chastres,Chanet,15001,,Commune non reconnue dans le DT
DT15-03886,Château-Bas (Le),Saint-Christophe,15153,,
DT15-03893,Château-Vieux,Sarrus,15073,,
DT15-03901,Chatonière (La),Barriac,15018,,
