article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-00949,Cognin,Isère,DEP_38,Touvet,Barraux,38027,exact,avecloc,Barraux
PO7-03308,Saint-Marcel,Isère,DEP_38,Touvet,Barraux,38027,exact,avecloc,Barraux
PO7-00276,Bartenheim,Haut-Rhin,DEP_68,Landser,none,68021,exact,sansloc,Bartenheim
PO7-00269,Barésia,Jura,DEP_39,Clairvaux,none,none,nulle,sansloc,none
PO7-00279,Bassens,Savoie,DEP_73,Chambéry,none,33032,exact,sansloc,Bassens
PO7-00281,Bassy,Haute-Savoie,DEP_74,Seyssel,none,74029,exact,sansloc,Bassy
PO7-00282,Bathernay,Drôme,DEP_26,Saint-Donat,none,26028,exact,sansloc,Bathernay
PO7-00289,Battenheim,Haut-Rhin,DEP_68,Habsheim,none,68022,exact,sansloc,Battenheim
PO7-00290,Battrans,Haute-Saône,DEP_70,Gray,none,70054,exact,sansloc,Battrans
PO7-00291,Bauche,Savoie,DEP_73,Échelles,none,73033,exact,sansloc,Bauche
PO7-00293,Baulay,Haute-Saône,DEP_70,Amance,none,70056,exact,sansloc,Baulay
PO7-00298,Baume,Jura,DEP_39,Voiteur,none,74030,exact,sansloc,Baume
PO7-00295,Baume-Cornillane,Drôme,DEP_26,Chabeuil,none,26032,exact,sansloc,Baume-Cornillane
PO7-00296,Baume-d’Hostun,Drôme,DEP_26,Bourg-de-Péage,none,26034,fuzzy,sansloc,Baume-d'Hostun
PO7-00297,Baume-les-Dames,Doubs,DEP_25,none,none,25047,exact,sansloc,Baume-les-Dames
PO7-01052,Cour,Doubs,DEP_25,Baume-les-Dames,Baume-les-Dames,25047,exact,avecloc,Baume-les-Dames
PO7-00299,Bavans,Doubs,DEP_25,Montbéliard,none,25048,exact,sansloc,Bavans
PO7-00300,Baverans,Jura,DEP_39,Rochefort-sur-Nenon,none,39042,exact,sansloc,Baverans
PO7-00301,Bavilliers,territoire de Belfort,none,Belfort,none,90008,nodpt,sansloc,Bavilliers
PO7-00303,Bay,Haute-Saône,DEP_70,Marnay,none,70057,exact,sansloc,Bay
PO7-00305,Beauchastel,Ardèche,DEP_07,la Voulte-sur-Rhône,none,07027,exact,sansloc,Beauchastel
PO7-02572,Parménie,Isère,DEP_38,Rives,Beaucroissant,38030,exact,avecloc,Beaucroissant
PO7-00306,Beaufort,Jura,DEP_39,none,none,31051,exact,sansloc,Beaufort
PO7-00307,Beaufort,Savoie,DEP_73,none,none,31051,exact,sansloc,Beaufort
PO7-00308,Beaujeu,Haute-Saône,DEP_70,Fresne-Saint-Mamès,Beaujeu-Saint-Vallier-et-Pierrejux,none,nulle,avecloc,none
PO7-02643,Pierrejux,Haute-Saône,DEP_70,Fresne-Saint-Mamès,Beaujeu-Saint-Vallier-et-Pierrejux,none,nulle,avecloc,none
