Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT73-00243,Argentine,,col de la Croix,,"sur les confins de la Savoie et de l’Isère, entre le col de la Croix et le col du Glandon, sur la commune de Saint-Sorlin-d’Arves."
DT73-00243,Argentine,,col du Glandon,,"sur les confins de la Savoie et de l’Isère, entre le col de la Croix et le col du Glandon, sur la commune de Saint-Sorlin-d’Arves."
DT73-00247,Arith,,Bauges,,"dans les Bauges, se jette dans le Chéran."
DT73-00249,Arly,,montagnes de Mégève,,"prend sa source dans les montagnes de Mégève et se jette dans l’Isère au-dessous d’Albertville après avoir reçu les eaux du Doron et arrosé Mégève (Haute-Savoie), Flumet et Ugines."
DT73-00249,Arly,,au-dessous d’Albertville,,"prend sa source dans les montagnes de Mégève et se jette dans l’Isère au-dessous d’Albertville après avoir reçu les eaux du Doron et arrosé Mégève (Haute-Savoie), Flumet et Ugines."
DT73-00249,Arly,,Mégève,,"prend sa source dans les montagnes de Mégève et se jette dans l’Isère au-dessous d’Albertville après avoir reçu les eaux du Doron et arrosé Mégève (Haute-Savoie), Flumet et Ugines."
DT73-00250,Armenaz,,chaîne des Bauges,,"entre les communes de Montailleur et d’Ecole, dans la chaîne des Bauges ; surplombe la vallée de l’Isère ; altitude, 2.163 mètres."
DT73-00250,Armenaz,,vallée de l’Isère,,"entre les communes de Montailleur et d’Ecole, dans la chaîne des Bauges ; surplombe la vallée de l’Isère ; altitude, 2.163 mètres."
DT73-00257,Arnès,,pointe d’Arnès,,"entre la pointe d’Arnès et l’Ouille d’Arbeiron, conduit de Bessans à Lanzo (Italie) ; altitude, 3.055 mètres."
DT73-00257,Arnès,,Ouille d’Arbeiron,,"entre la pointe d’Arnès et l’Ouille d’Arbeiron, conduit de Bessans à Lanzo (Italie) ; altitude, 3.055 mètres."
DT73-00257,Arnès,,Lanzo,,"entre la pointe d’Arnès et l’Ouille d’Arbeiron, conduit de Bessans à Lanzo (Italie) ; altitude, 3.055 mètres."
DT73-00258,Arnaz,,passage du Collerin,,"sur la commune de Bessans, entre le passage du Collerin et le col d’Arnaz."
DT73-00258,Arnaz,,col d’Arnaz,,"sur la commune de Bessans, entre le passage du Collerin et le col d’Arnaz."
DT73-00261,Arocheur,,mont Meaumartin,,au sud du mont Meaumartin.
DT73-00263,Arondine,,mont de la Croisse-Baulet,,"prend sa source au mont de la Croisse-Baulet, arrose La Giettaz et se jette dans l’Arly, affluent de l’Isère, un peu en aval de Flumet."
DT73-00263,Arondine,,La Giettaz,,"prend sa source au mont de la Croisse-Baulet, arrose La Giettaz et se jette dans l’Arly, affluent de l’Isère, un peu en aval de Flumet."
DT73-00263,Arondine,,en aval de Flumet,,"prend sa source au mont de la Croisse-Baulet, arrose La Giettaz et se jette dans l’Arly, affluent de l’Isère, un peu en aval de Flumet."
DT73-00268,Arpettaz,hameau,Faverges,,entre Outrechaise et Faverges (Haute-Savoie).
DT73-00269,Arpettaz,hameau,Les Allues,,entre Saint-Martin-de-Belleville et Les Allues.
DT73-00276,Arpingon,,La Chambre,,entre La Chambre et Allevard (Isère).
DT73-00276,Arpingon,,Allevard,,entre La Chambre et Allevard (Isère).
DT73-00282,Arpont,lieu-dit et granges,massif des glaciers de la Vanoise,,fait partie du massif des glaciers de la Vanoise.
DT73-00284,Arponts,massif,Sollières,,massif entre Aussois et Sollières.
DT73-00286,Arrliets,,col du Jovet,,"sur la commune de Notre-Dame-du-Pré, domine le col du Jovet."
