id,commune_dt,insee,type,vedette,typologie
384,Arles-sur-Tech (Arles),66009,,La Guàrdia,
385,Arles-sur-Tech (Arles),66009,,Les Llasseres,
386,Arles-sur-Tech (Arles),66009,,Mas d’En Ploma,
387,Arles-sur-Tech (Arles),66009,,Santa Creu de Quercorb,
388,Arles-sur-Tech (Arles),66009,,Sant Pere de Riuferrer,
389,Amélie-les-Bains,66003,commune,Amélie-les-Bains,commune
390,Amélie-les-Bains (Els Banys d’Arles),66003,,Les Boixedes,
391,Amélie-les-Bains (Els Banys d’Arles),66003,,El Gau,
392,Amélie-les-Bains (Els Banys d’Arles),66003,,Montdony i Montalbà,
393,Amélie-les-Bains (Els Banys d’Arles),66003,,Puig Alduc,
394,Amélie-les-Bains (Els Banys d’Arles),66003,,Puig dels Banys,
395,Amélie-les-Bains (Els Banys d’Arles),66003,,Santa Engràcia,
396,Belpuig,66153,commune,Belpuig,commune
397,Belpuig (Bellpuig),66153,,Castanyers,
398,Belpuig (Bellpuig),66153,,Castellar,
399,Belpuig (Bellpuig),66153,,Croses,
400,Belpuig (Bellpuig),66153,,El Vilar,
401,Céret,66049,commune,Céret,commune
402,Céret (Ceret),66049,,Lasertet ou Les Costes,
403,Céret (Ceret),66049,,Mas del Parer,
404,Céret (Ceret),66049,,"Palol, Palau",
405,Céret (Ceret),66049,,Sant Ferriol,
406,Céret (Ceret),66049,,Sant Jordi,
407,Corsavy,66060,commune,Corsavy,commune
408,Corsavy (Cortsaví),66060,,Arlelles,
409,Corsavy (Cortsaví),66060,,Les Balmes,
410,Corsavy (Cortsaví),66060,,Batera,
411,Corsavy (Cortsaví),66060,,Les Beges,
412,Corsavy (Cortsaví),66060,,Gusach,
413,Corsavy (Cortsaví),66060,,Llanser,
414,Corsavy (Cortsaví),66060,,Leca,
415,Corsavy (Cortsaví),66060,,Perduts,
416,Corsavy (Cortsaví),66060,,Pla de Rodes,
417,Corsavy (Cortsaví),66060,,La Talleda,
418,Corsavy (Cortsaví),66060,,La Torre d’Anglars,
419,Corsavy (Cortsaví),66060,,Uxes,
420,Corsavy (Cortsaví),66060,,Vilalta,
421,Coustouges,66061,commune,Coustouges,commune
422,Coustouges (Costoja),66061,,Castell Falcó,
423,Coustouges (Costoja),66061,,Vilaroja,
424,Las Illas,66106,commune,Las Illas,commune
425,Las Illas (les Illes),66106,,La Selva i l’Arbre Gros,
426,Maureillas,66106,commune,Maureillas,commune
427,Maureillas (Maurellàs),66106,,Comaleres,
428,Maureillas (Maurellàs),66106,,Sant Joan de Mauranells,
429,Maureillas (Maurellàs),66106,,Sant Martí de Fenollar,
430,Lamanère,66091,commune,Lamanère,commune
431,Lamanère (la Menera),66091,,Les Estanoses,
432,Lamanère (la Menera),66091,,Mas de la Serra (?),
433,Lamanère (la Menera),66091,,Pla del Boix,
434,Lamanère (la Menera),66091,,Santa Cristina,
435,Montbolo,66113,commune,Montbolo,commune
436,Montbolo (Montboló),66113,,La Basseda,
437,Montbolo (Montboló),66113,,Castell,
438,Montbolo (Montboló),66113,,Cogullada,
439,Montbolo (Montboló),66113,,Freixanet,
440,Montbolo (Montboló),66113,,Garretoses,
441,Montbolo (Montboló),66113,,Mas Noguer,
442,Montbolo (Montboló),66113,,Massà,
443,Montbolo (Montboló),66113,,Montargull,
444,Montbolo (Montboló),66113,,"El Puig, mas del Puig",
445,Montbolo (Montboló),66113,,Robiró,
446,Montbolo (Montboló),66113,,Les Vernedes,
447,Montbolo (Montboló),66113,,Can Vilasseca,
448,Montferrer,66116,commune,Montferrer,commune
449,Montferrer,66116,,Madaloch d’Amunt,
450,Montferrer,66116,,Maures,
451,Montferrer,66116,,Monells,
452,Montferrer,66116,,La Palma,
453,Montferrer,66116,,Sobraqués,
455,Oms,66126,,Campells,
456,Oms,66126,,Can Massineta,
457,Oms,66126,,Reyrós,
458,Palalda,66003,commune,Palalda,commune
459,Prats-de-Mollo-la-Preste,66150,commune,Prats-de-Mollo-la-Preste,commune
460,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Avellanedell,
461,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,El Boix,
462,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Burgat,
463,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Cal Cabous,
464,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,El Cendreu,
465,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Coll d’Ares — Santa Margarida,
466,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Gironella,
467,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Guàrdia,
468,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,El Maçanell,
469,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Masó,
470,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Miralles,
471,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Nogardell et la Nogareda,
472,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Nostra Senyora del Coral,
473,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Perella,
474,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Persigola,
475,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Plana,
476,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Plana Nera,
477,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Presta,
478,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Puig Morella,
479,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Les Queroses,
480,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Sala,
481,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Santa Llúcia,
482,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Sant Salvador de les Planes,
483,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Serra Vernet,
484,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Sous,
485,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Tellet,
486,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,La Torre de Mir,
487,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Vall del Canidell,
488,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Vallmanya,
489,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Vilaplana,
490,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Vilar Sec,
491,Prats-de-Mollo-la-Preste (Prats de Molló),66150,,Vinyes Planes,
492,Reynès,66160,commune,Reynès,commune
493,Reynès (Reyners),66160,,"Asnar, Vilar d’Asnar",
