Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-01269,Combles,fief,"
            Sailly-Laurette
         ",80693,"
         fief sis à 
            Sailly-Laurette
         .",,
DT80-01302,Cornet,fief,"
            Sailly-Laurette
         ",80693,"
         fief sis à 
            Sailly-Laurette
         .",,
DT80-01717,Fabrique,moulin,"
            Sailly-Laurette
         ",80693,"
         moulin, dép. de 
            Sailly-Laurette
         .",,
DT80-02202,Grand Moulin,,"
            Sailly-Laurette
         ",80693,"dép. de 
            Sailly-Laurette
         .",,
DT80-02862,Marais,habitation isolée,"
            Sailly-le-Grand
         ",80693,"
         habitation isolée dép. de 
            Sailly-le-Grand
         .",,
DT80-02920,Martimont,lieu,"
            Sailly-le-Petit
         ",80694,"
         lieu sis à 
            Sailly-le-Petit
         .",,
DT80-04002,"Rasciaux,",lieu dit,"
            Saint-Acheul-lès-Amiens
         ",80021,"
         lieu dit à 
            Saint-Acheul-lès-Amiens
         .",,
DT80-03167,"Montenoy,",hameau,"
            Saint-Aubin
         ",80698,"
         hameau dép. de 
            Saint-Aubin
         . 53 habitants.",,
DT80-04528,"S. Milfort,",chapelle,"
            Saint-Aubin-Rivière
         ",80699,"
         chapelle dép. de 
            Saint-Aubin-Rivière
         . — Cad.",,
DT80-03482,"Offoil,",,"
            Saint-Blimond
         ",80700,"dép. de 
            Saint-Blimond
         .",,
DT80-02947,"May,",fief,"
            Saint-Blimont
         ",80700,"
         fief sis à 
            Saint-Blimont
         .",,
DT80-01580,"Elincourt,",,"
            Saint-Blimont
         ",80700,"dép. de 
            Saint-Blimont
         , 153 habitants.",,
DT80-01534,"Ebalet,",,"
            Saint-Blimont
         ",80700,"dép. de 
            Saint-Blimont
         , 76 habitants.",,
DT80-01680,Etang,,"
            Saint-Blimont
         ",80700,"dép. de 
            Saint-Blimont
         .",,
DT80-04823,"Tacerville,",,"
            Saint-Blimont
         ",80700,"dép. de 
            Saint-Blimont
         .",,
DT80-03477,"Offeux,",,"
            Saint-Blimont
         ",80700,"dép. de 
            Saint-Blimont
         . 320 habitants.",,
DT80-01221,"Chofflet,",fief,"
            Saint-Firmin
         ",non,"
         fief sis à 
            Saint-Firmin
         , dép. du CROTOY.",,
DT80-01780,"Ferme Dubelley,",,"
            Saint-Firmin
         ",80228,"dép. de 
            Saint-Firmin
         .",,
DT80-01792,"Ferme Vasseur,",,"
            Saint-Firmin
         ",80228,"dép. de 
            Saint-Firmin
         .",,
DT80-05011,"Trou Wargnier,",bois,"
            Saint-Fuscien
         ",80702,"
         bois dép. de 
            Saint-Fuscien
         .",,
DT80-02847,"Many,",fief,"
            Saint-Fuscien
         ",80702,"
         fief sis à 
            Saint-Fuscien
         .",,
DT80-04374,"S. Bonaire,",fief,"
            Saint-Fuscien
         ",80702,"
         fief sis à 
            Saint-Fuscien
         . — Daire. Doy. de Moreuil.",,
DT80-03594,"Petit Cagny,",hameau,"
            Saint-Fuscien
         ",80702,"
         hameau dép. de 
            Saint-Fuscien
         , 100 habitants.",,
DT80-03627,"Petit Marché,",lieu dit,"
            Saint-Fuscien
         ",80702,"
         lieu dit à 
            Saint-Fuscien
         .",,
DT80-03658,"Petit-S.-Fuscien,",,"
            Saint-Fuscien
         ",80702,"dép. de 
            Saint-Fuscien
         , 6 habitants.",,
DT80-00251,Baraques,écart,"
            Saint-Germain-sur-Bresle
         ",80703,"
         écart de 
            Saint-Germain-sur-Bresle
         .",,
